epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.456,1.05422,1.16468,1.36977,0.52219,0.71725,0.69928,0.55871,0.60143,3.20137,0.93553,0.00333154,0.00333154,0.00333154
2,313.617,0.73047,0.68821,1.17703,0.64219,0.73817,0.71852,0.56824,0.62212,0.86779,0.9524,0.00663848,0.00663848,0.00663848
3,466.774,0.7406,0.65302,1.17755,0.63886,0.64166,0.66853,0.53693,0.61472,1.91472,0.94356,0.00991902,0.00991902,0.00991902
4,619.844,0.77097,0.68681,1.20502,0.68526,0.78269,0.75316,0.57459,0.61506,1.62311,0.95068,0.0098812,0.0098812,0.0098812
5,773.641,0.74915,0.65541,1.18997,0.73986,0.724,0.74486,0.60031,0.59795,1.44731,0.93723,0.0098416,0.0098416,0.0098416
6,927.244,0.73296,0.6295,1.17586,0.72959,0.65013,0.6906,0.5669,0.60057,0.82445,0.94307,0.009802,0.009802,0.009802
7,1081.22,0.71844,0.6081,1.16535,0.73892,0.6702,0.6973,0.5709,0.59128,1.49062,0.93383,0.0097624,0.0097624,0.0097624
8,1235.67,0.71026,0.59889,1.15831,0.59477,0.68877,0.67666,0.55515,0.57472,1.27829,0.90796,0.0097228,0.0097228,0.0097228
9,3379.29,0.69919,0.5873,1.15214,0.65557,0.72932,0.69274,0.57401,0.57968,0.79182,0.91857,0.0096832,0.0096832,0.0096832
10,3533.53,0.68634,0.57253,1.14533,0.69529,0.71285,0.70092,0.58225,0.56909,1.14884,0.91652,0.0096436,0.0096436,0.0096436
11,3688.14,0.68859,0.57097,1.14646,0.70143,0.70292,0.70277,0.58478,0.55816,1.1093,0.90862,0.009604,0.009604,0.009604
12,3842.51,0.6797,0.55897,1.13842,0.71944,0.69386,0.71481,0.59591,0.57221,1.31998,0.90902,0.0095644,0.0095644,0.0095644
13,4000.55,0.67152,0.54061,1.13149,0.66805,0.71595,0.72004,0.58448,0.57758,1.10676,0.92294,0.0095248,0.0095248,0.0095248
14,4155.73,0.66899,0.54677,1.12983,0.76807,0.72573,0.74541,0.60568,0.55932,0.87555,0.90985,0.0094852,0.0094852,0.0094852
15,4310.19,0.66785,0.5366,1.12867,0.64829,0.78538,0.71357,0.59633,0.54138,0.93408,0.88995,0.0094456,0.0094456,0.0094456
16,4463.14,0.65482,0.53297,1.12592,0.67085,0.79672,0.71715,0.59979,0.5427,0.85206,0.89751,0.009406,0.009406,0.009406
17,4615.86,0.6549,0.52745,1.12058,0.67849,0.7546,0.72196,0.59848,0.5513,0.81401,0.9051,0.0093664,0.0093664,0.0093664
18,4769.31,0.65117,0.52489,1.12183,0.67796,0.81276,0.70994,0.58974,0.55107,0.90173,0.90004,0.0093268,0.0093268,0.0093268
19,4922.69,0.64201,0.51264,1.11173,0.67659,0.71405,0.71263,0.59051,0.54811,0.70029,0.90032,0.0092872,0.0092872,0.0092872
20,5076.67,0.64344,0.50901,1.11386,0.66417,0.77609,0.71275,0.60024,0.54694,0.71362,0.89622,0.0092476,0.0092476,0.0092476
21,5230.1,0.64424,0.51459,1.10991,0.69338,0.78516,0.72267,0.60438,0.54117,0.68117,0.88912,0.009208,0.009208,0.009208
22,5384.13,0.63755,0.51011,1.10985,0.70437,0.85743,0.75868,0.62401,0.53006,0.61714,0.87606,0.0091684,0.0091684,0.0091684
23,5538.05,0.63622,0.50639,1.10704,0.64077,0.82056,0.72954,0.61399,0.53032,0.6588,0.8831,0.0091288,0.0091288,0.0091288
24,5691.37,0.63103,0.50536,1.10599,0.6685,0.83466,0.7232,0.60388,0.53511,0.79938,0.88718,0.0090892,0.0090892,0.0090892
25,5844.86,0.62881,0.50221,1.1048,0.68901,0.82851,0.71902,0.59823,0.51927,0.75175,0.86235,0.0090496,0.0090496,0.0090496
26,5997.89,0.6273,0.49405,1.102,0.75888,0.79414,0.75471,0.62388,0.52665,0.68031,0.87128,0.00901,0.00901,0.00901
27,6150.99,0.62687,0.49307,1.09996,0.68066,0.8414,0.7387,0.61288,0.51313,0.75062,0.8549,0.0089704,0.0089704,0.0089704
28,6305.53,0.61986,0.48904,1.09628,0.75546,0.73998,0.73838,0.6172,0.51469,0.64832,0.86312,0.0089308,0.0089308,0.0089308
29,6458.86,0.62418,0.48929,1.10038,0.75283,0.75942,0.74855,0.62331,0.52351,0.60488,0.86353,0.0088912,0.0088912,0.0088912
30,6612.11,0.61861,0.48837,1.09885,0.76418,0.76587,0.74668,0.62845,0.5192,0.64828,0.86851,0.0088516,0.0088516,0.0088516
