epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0725,0.83635,1.1479,1.31358,0.81873,0.6026,0.64606,0.49764,0.87494,0.93683,1.36523,0.00332545,0.00332545,0.00332545
2,97.0962,0.81728,1.06569,1.29666,0.80137,0.54163,0.63738,0.4322,1.00729,1.10747,1.48745,0.00663242,0.00663242,0.00663242
3,144.743,1.00238,1.35853,1.42801,0.71421,0.4471,0.47402,0.30499,1.24268,1.46846,1.75667,0.00991298,0.00991298,0.00991298
4,192.557,1.10558,1.49817,1.49099,0.70073,0.44422,0.48287,0.30603,1.25599,1.53405,1.72694,0.0098812,0.0098812,0.0098812
5,240.18,1.12871,1.53863,1.52302,0.74162,0.4325,0.49816,0.30659,1.33766,1.47155,1.78443,0.0098416,0.0098416,0.0098416
6,287.692,1.11231,1.45584,1.49631,0.71785,0.5141,0.53755,0.35146,1.19519,1.23295,1.65589,0.009802,0.009802,0.009802
7,335.264,1.06795,1.39267,1.47041,0.73188,0.52972,0.5609,0.36767,1.14225,1.21094,1.60284,0.0097624,0.0097624,0.0097624
8,382.78,1.05997,1.35597,1.45952,0.76766,0.51536,0.56461,0.39132,1.09674,1.1747,1.56427,0.0097228,0.0097228,0.0097228
9,430.567,1.03314,1.31026,1.44967,0.77605,0.51561,0.55625,0.37543,1.11501,1.17527,1.58157,0.0096832,0.0096832,0.0096832
10,478.095,1.00776,1.26174,1.43095,0.80081,0.55433,0.61833,0.44682,1.04121,1.02893,1.4855,0.0096436,0.0096436,0.0096436
11,525.744,0.98826,1.21857,1.41261,0.78808,0.55438,0.6172,0.4436,1.01723,1.11708,1.47762,0.009604,0.009604,0.009604
12,573.235,0.98021,1.2048,1.39969,0.84426,0.53377,0.61992,0.44191,1.0392,1.03861,1.5031,0.0095644,0.0095644,0.0095644
13,620.816,0.95044,1.15559,1.37812,0.8175,0.55145,0.62551,0.46387,0.94097,0.94249,1.40246,0.0095248,0.0095248,0.0095248
14,668.303,0.955,1.1502,1.38716,0.80093,0.56318,0.66937,0.4887,0.931,0.95742,1.38507,0.0094852,0.0094852,0.0094852
15,715.73,0.94472,1.13566,1.37281,0.82469,0.56856,0.62785,0.45995,0.95723,0.93014,1.41579,0.0094456,0.0094456,0.0094456
16,763.164,0.9157,1.09607,1.3558,0.81701,0.59678,0.6551,0.48917,0.90689,0.89281,1.36595,0.009406,0.009406,0.009406
17,810.76,0.92717,1.09264,1.36201,0.81656,0.60165,0.65228,0.47626,0.93794,0.89793,1.3958,0.0093664,0.0093664,0.0093664
18,858.302,0.91586,1.09008,1.35186,0.85141,0.59281,0.67012,0.50621,0.88961,0.88782,1.35042,0.0093268,0.0093268,0.0093268
19,905.811,0.87719,1.03926,1.32283,0.86646,0.608,0.68346,0.51795,0.90121,0.82294,1.3425,0.0092872,0.0092872,0.0092872
20,953.328,0.88913,1.02191,1.33489,0.84295,0.59933,0.66042,0.49727,0.90794,0.85156,1.36022,0.0092476,0.0092476,0.0092476
21,1000.96,0.89303,1.02031,1.33612,0.87039,0.61252,0.68594,0.52358,0.84444,0.7996,1.3007,0.009208,0.009208,0.009208
22,1048.45,0.86123,0.99085,1.31721,0.89465,0.60603,0.72242,0.54974,0.83169,0.777,1.28399,0.0091684,0.0091684,0.0091684
23,1095.92,0.86733,1.00037,1.32378,0.88651,0.62978,0.6968,0.53373,0.83572,0.76778,1.29728,0.0091288,0.0091288,0.0091288
24,1143.29,0.84825,0.9814,1.3094,0.88531,0.62868,0.70062,0.53996,0.81007,0.7735,1.2773,0.0090892,0.0090892,0.0090892
25,1190.67,0.8465,0.95295,1.29675,0.87987,0.62873,0.75838,0.59981,0.80859,0.7514,1.25856,0.0090496,0.0090496,0.0090496
26,1238.34,0.84246,0.93285,1.29328,0.89548,0.63102,0.703,0.53643,0.83697,0.73897,1.29216,0.00901,0.00901,0.00901
27,1285.72,0.83258,0.94153,1.29443,0.89609,0.63916,0.71086,0.56242,0.78032,0.71682,1.23,0.0089704,0.0089704,0.0089704
28,1333.1,0.82467,0.93011,1.2853,0.88139,0.62783,0.70448,0.55079,0.79108,0.71213,1.24088,0.0089308,0.0089308,0.0089308
29,1380.48,0.82328,0.92132,1.28488,0.89014,0.64177,0.81829,0.6656,0.75227,0.69875,1.21049,0.0088912,0.0088912,0.0088912
30,1428.13,0.80869,0.90433,1.27918,0.88094,0.63941,0.71783,0.56012,0.76602,0.6901,1.22506,0.0088516,0.0088516,0.0088516
31,1475.56,0.80843,0.90085,1.28042,0.90647,0.642,0.70895,0.55643,0.77744,0.7133,1.23477,0.008812,0.008812,0.008812
32,1523.09,0.80376,0.904,1.28082,0.90579,0.65317,0.77022,0.62577,0.75191,0.69983,1.20955,0.0087724,0.0087724,0.0087724
33,1570.49,0.79911,0.87846,1.2639,0.87603,0.663,0.7685,0.61502,0.74274,0.66913,1.20303,0.0087328,0.0087328,0.0087328
34,1618.08,0.78486,0.83833,1.25546,0.88113,0.66009,0.74265,0.5936,0.74808,0.65213,1.19465,0.0086932,0.0086932,0.0086932
35,1665.53,0.78926,0.85844,1.26085,0.87802,0.64909,0.77848,0.63547,0.73256,0.64433,1.18036,0.0086536,0.0086536,0.0086536
36,1712.98,0.78532,0.85985,1.26125,0.89365,0.66964,0.81767,0.66387,0.72178,0.6483,1.18064,0.008614,0.008614,0.008614
37,1760.47,0.78381,0.84971,1.25304,0.90149,0.65455,0.78132,0.63942,0.72559,0.63841,1.18615,0.0085744,0.0085744,0.0085744
38,1807.9,0.77365,0.83181,1.25273,0.91027,0.6475,0.75124,0.61249,0.72751,0.63764,1.19418,0.0085348,0.0085348,0.0085348
39,1855.48,0.76792,0.84153,1.24333,0.87376,0.66038,0.79135,0.62793,0.74416,0.67106,1.19984,0.0084952,0.0084952,0.0084952
40,1902.86,0.7545,0.82212,1.23979,0.89614,0.68248,0.80747,0.66998,0.6973,0.60704,1.15853,0.0084556,0.0084556,0.0084556
41,1950.31,0.76908,0.82282,1.24449,0.89893,0.67298,0.80413,0.65493,0.69326,0.61115,1.15584,0.008416,0.008416,0.008416
42,1997.71,0.76967,0.82882,1.25603,0.9141,0.67027,0.81515,0.67148,0.69786,0.61019,1.15663,0.0083764,0.0083764,0.0083764
43,2045.39,0.75506,0.81736,1.23968,0.90094,0.69448,0.77651,0.62875,0.70092,0.61294,1.1608,0.0083368,0.0083368,0.0083368
44,2092.86,0.74898,0.80334,1.24448,0.88242,0.66749,0.73167,0.59143,0.68127,0.60016,1.14519,0.0082972,0.0082972,0.0082972
45,2140.37,0.73785,0.80232,1.22581,0.89837,0.68271,0.78553,0.65526,0.66675,0.56865,1.13116,0.0082576,0.0082576,0.0082576
46,2187.78,0.73245,0.78052,1.2216,0.90371,0.69909,0.81528,0.6789,0.66424,0.58215,1.12359,0.008218,0.008218,0.008218
47,2235.45,0.73296,0.77274,1.22481,0.93429,0.67955,0.80191,0.66186,0.66361,0.5734,1.1171,0.0081784,0.0081784,0.0081784
48,2282.89,0.73909,0.77623,1.23114,0.91982,0.69722,0.79321,0.65186,0.65571,0.55444,1.12585,0.0081388,0.0081388,0.0081388
49,2330.29,0.725,0.77394,1.21937,0.90776,0.70114,0.84166,0.70452,0.65,0.55143,1.11652,0.0080992,0.0080992,0.0080992
